,0,1,2,3,4,5,6
0,0.9702,0.99,0.7341,-31.5436,0.7605,0.6984,0.4673
1,0.0005,1e-05,0.0002,0.0097,0.00023999999999999998,0.00028,0.00041
2,0.0044,0.0036,0.0101,0.0833,0.0102,0.0107,0.013
