,0,1,2,3,4,5,6
0,0.7844,0.937,0.945702,-251.4956,0.919,0.9418,0.9321
1,5e-05,1e-05,7.5e-05,0.0036,2e-05,0.000147,2e-05
2,0.0048,0.0031,0.005764,0.0589,0.0032,0.0027,0.0031
